cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20
2016-09-01,100.0,,,,,,,,,,,,,,,,,,,
2016-10-01,100.0,,,,,,0.3,,,0.3,,0.3,,0.3,,0.3,,0.3,0.7,0.7
2016-12-01,100.0,100.0,,,,,,,,,,,,,,,,,,
2017-01-01,100.0,0.4,0.3,0.1,0.4,0.1,0.4,0.1,0.1,,0.4,0.1,0.7,0.4,0.1,0.1,0.3,0.4,0.1,
2017-02-01,100.0,0.2,0.3,0.1,0.4,0.1,0.2,0.2,0.1,0.2,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.2,,
2017-03-01,100.0,0.5,0.4,0.4,0.4,0.2,0.2,0.3,0.4,0.1,0.4,0.1,0.2,0.1,0.2,0.2,0.1,0.2,,
2017-04-01,100.0,0.6,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.1,0.1,0.0,0.1,0.1,0.1,,,
2017-05-01,100.0,0.5,0.5,0.4,0.3,0.3,0.4,0.1,0.3,0.3,0.3,0.3,0.3,0.0,0.2,0.2,,,,
2017-06-01,100.0,0.5,0.4,0.4,0.3,0.4,0.4,0.2,0.1,0.2,0.3,0.3,0.2,0.1,0.2,,,,,
2017-07-01,100.0,0.5,0.3,0.2,0.3,0.2,0.3,0.1,0.2,0.3,0.2,0.3,0.1,0.3,,,,,,
2017-08-01,100.0,0.7,0.3,0.3,0.4,0.5,0.3,0.3,0.1,0.1,0.2,0.2,0.1,,,,,,,
2017-09-01,100.0,0.7,0.5,0.3,0.4,0.2,0.2,0.2,0.3,0.2,0.3,0.1,,,,,,,,
2017-10-01,100.0,0.7,0.3,0.1,0.2,0.2,0.2,0.4,0.3,0.2,0.2,,,,,,,,,
2017-11-01,100.0,0.6,0.4,0.2,0.2,0.2,0.1,0.2,0.1,0.1,,,,,,,,,,
2017-12-01,100.0,0.2,0.3,0.3,0.3,0.2,0.2,0.0,0.2,,,,,,,,,,,
2018-01-01,100.0,0.3,0.4,0.3,0.3,0.2,0.2,0.2,,,,,,,,,,,,
2018-02-01,100.0,0.4,0.4,0.3,0.3,0.2,0.2,,,,,,,,,,,,,
2018-03-01,100.0,0.4,0.3,0.3,0.1,0.1,,,,,,,,,,,,,,
2018-04-01,100.0,0.6,0.3,0.2,0.1,,,,,,,,,,,,,,,
2018-05-01,100.0,0.5,0.3,0.2,,,,,,,,,,,,,,,,
2018-06-01,100.0,0.4,0.3,,,,,,,,,,,,,,,,,
2018-07-01,100.0,0.5,,,,,,,,,,,,,,,,,,
2018-08-01,100.0,0.0,,,,,,,,,,,,,,,,,,
